personnage_1;personnage_2;force_1;force_2;scenarios;task_1;task_2;repetition_question;id_participant;age;sexe;taille;enfant
3;4;10;1;5;10;0;2;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
2;9;6;9;4;5;5;2;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
1;3;6;10;9;10;0;2;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
3;8;10;9;1;7;3;2;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
3;5;10;3;2;9;1;2;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
8;9;9;9;6;5;5;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
1;2;6;6;3;6;4;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
3;4;10;1;5;10;0;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
1;3;6;10;9;10;0;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
2;9;6;9;4;5;5;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
1;9;6;9;8;4;6;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
1;8;6;9;7;4;6;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
3;8;10;9;1;9;1;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
3;5;10;3;2;9;1;3;8df85659c6c81535210724cce59f90b8;23;Femme;167;Non
1;9;5;5;9;4;6;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
4;5;1;3;5;6;4;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
4;9;1;5;1;6;4;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
2;3;5;10;8;5;5;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;2;5;5;4;5;5;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
3;8;10;5;7;5;5;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
5;8;3;5;6;3;7;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;3;5;10;3;5;5;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;9;5;5;2;5;5;1;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
4;9;1;5;1;6;4;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;3;5;10;3;5;5;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
4;5;1;3;5;6;4;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;9;5;5;2;5;5;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;2;5;5;4;5;5;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
2;3;5;10;8;5;5;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
5;8;3;5;6;3;7;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;9;5;5;9;4;6;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
3;8;10;5;7;5;5;2;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
3;8;10;5;7;5;5;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;3;5;10;3;5;5;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;9;5;5;2;5;5;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
2;3;5;10;8;5;5;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;9;5;5;9;4;6;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
5;8;3;5;6;3;7;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
1;2;5;5;4;5;5;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
4;5;1;3;5;6;4;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
4;9;1;5;1;6;4;3;a077c4c360c6074c27a2feeca2ff643d;22;Autre;175;Non
2;8;11;13;9;5;5;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;4;11;1;8;8;2;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;4;10;1;7;7;3;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
5;9;8;13;5;3;7;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;9;10;13;6;7;3;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;9;11;13;4;5;5;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
2;9;11;13;2;4;6;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;9;11;13;3;5;5;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
3;4;10;1;1;8;2;1;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
1;9;11;13;4;5;5;2;087ebbf1a86d8dbb6b7ef033ed2a188c;20;Homme;185;Non
